PID,Displayname,Tag1,Tag2,Phone,Story
1010012800020059,CERRUTI 1881,其他,钟表,,Cerruti 1881男装是以流线型的设计风格带给人们前所未有的惊喜，不但款形时刻紧随时尚，剪裁上更是将意大利式的手工传统、英国式的色彩配置和法国式的样式风格完美糅合，融入了经典而又新鲜的品味。除了Cerruti 1881男装之外，同一品牌线的Cerruti时装、香水同样蜚声业界，享誉已久。而瑞士手表系列，可谓这个大家族中极具潜质的名门新贵。它继承了Cerruti 一贯清逸典雅的设计，运用高度精确的瑞士制表技术精制而成，含蓄、高雅、矜贵，贯彻着Cerruti张扬品质的传统。
1010012800020060,VERTU,电器,电子数码,,ERTU（纬图）是诺基亚所成立的全球第一家奢侈手机公司，以经营高档品牌的方式，由世界著名的手机设计师Frank Nuovo设计，2012年诺基亚将VERTU品牌90%的股权出售给了瑞典投资公司EQT。 该品牌的机型从外观、用料到功能都绝对称得上有王者风范，平均每款售价高达十几万元人民币。VERTU，这个起源于拉丁文的单词原意即为“高品质、独一无二”。
1010012800020061,豪度,其他,钟表,,
1010012800020062,Tissot,其他,钟表,,对于天梭而言，“时间，随你掌控”不仅仅是一句广告词。它传递了天梭品牌的DNA ，天梭一直致力将前沿科技与时尚设计在钟表制作中完美融合。自1853年起，天梭便一直立足传统进行创新，现已成长为全球销量第一的瑞士传统制表品牌，属于瑞士中档手表之一。
1010012800020063,Elizabeth Arden,个护化妆,个人护理,,伊利莎白雅顿（Elizabeth Arden）在美容界享有很高的声誉，有人称雅顿为众香之巢—“美是自然和科学的结晶”。 雅顿的产品线包括护肤保养品、彩妆、香水等，雅顿不断攀升的业绩及来自世界各地的认同使它已成为一个全球知名的化妆品名牌。 Elizabeth Arden是1960年在美国建立的品牌，以香水为主，化妆品只占业务的一小部分。旗下除了Elizabeth Arden这个品牌以外，还有一个著名的香水品牌Elizabeth Taylor。
1010012800020064,DV Sebagh,个护化妆,个人护理,,
1010012800020065,Versace,个护化妆,个人护理,,来自意大利知名的奢侈品牌范思哲（Versace）创造了一个时尚帝国，代表着一个品牌家族，范思哲的时尚产品渗透了生活的每个领域，其鲜明的设计风格，独特的美感，极强的先锋艺术表征让它风靡全球。它的设计风格鲜明，是独特的美感极强的先锋艺术的象征。其中最魅力独具的是那些展示充满文艺复兴时期特色的华丽的具有丰富想象力的女装款式，它们性感漂亮，女性味十足，色彩鲜艳，既有歌剧式的超平现实的华丽，又能充分考虑穿着舒适性及恰当地显示体型。范思哲还经营香水、眼镜、领带、皮件、包袋、瓷器、玻璃器皿、丝巾、羽绒制品、家具产品等。
1010012800020066,TOMBOLINI,服装,男装,,
1010012800020067,None,,,,
1010012800030000,Marisfrolg,服装,女装,,深圳玛丝菲尔时装有限公司创建于1993年，是恩情投资发展有限公司旗下负责时装品牌营运的管理机构，公司管理的品牌有女装Marisfrolg玛丝菲尔、MASFER SU、AUM及男装MARISFROLG，而公司也于2014年2月成功收购意大利著名时装品牌Krizia。
1010012800030001,MICHELLE MOISSAC,服装,女装,,
1010012800030002,MOJO.S PHINE,服装,女装,,
1010012800030003,IMMOBILE,服装,女装,,
1010012800030004,CAGLIARI EXCHANGE,服装,女装,,CAGLIARI EXCHANGE（卡利亚里）是中国著名女性时装品牌。一直以意式风格闻名于时装界。品牌于2004年创立，一路发展至今，以优雅的设计、高档的面料、经典的廓型著称，成长为众多白领女性体现优雅风格的代表。它以传递优雅视作自己的宗旨，主要分“黑标”与“黄标”两个系列，店铺采用了亚光与流畅的墙体结合。
1010012800030005,M.TSUBOMI,服装,女装,,
1010012800030006,JEFEN,服装,女装,,JEFEN时装由著名国际时装设计师Frankie.Xie(谢锋）先生于2000年在意大利创立，以经营JEFEN高级女装为主。
1010012800030007,KOREANO,服装,女装,,柯利亚诺品牌创立于1992年，她以其超群的品质，独具一格的风采，自由的穿梭于女装世界。
1010012800030008,米茜尔,服装,女装,,
1010012800030009,例外,服装,女装,,例外，广州市例外服饰有限公司，创立于1996年，主要经营服饰及文化生活等用品，是一家集服装设计生产、销售于一体的具有先进经营理念的企业。 公司现有员工约400人，实行总经理负责制，下设设计研发中心、营销管理中心、产品供应中心、品质管理部、人力资源部、财务部六大部门。2013年3月22日，国家主席习近平首次出访俄罗斯，夫人彭丽媛陪同。第一夫人彭丽媛一身深蓝色双排扣风衣和天蓝色丝巾的搭配给人留下了深刻印象。这身套装及其所挽的黑色手袋正是由广州品牌“EXCEPTION例外”特别定制的。
1010012800030010,LAVINIA CLUB,服装,女装,,
1010012800030011,silhouette labelle,服装,女装,,Silhouette Labelle寓意为“魅影”，中文名：“拉贝儿”，品牌创始人S.Labelle夫人希望每一位拥有Silhouette Labelle的女性都享有如法国皇室般精致、典雅、奢华而又浪漫的夜晚！以制作礼帽起家的S.Labelle，凭借精湛的帽类生产工艺，其生产的礼帽迅速得到了法国皇室的认可。从而逐渐延伸至毛纺织品，靠着不变的精致手工与质感，终于成为现在包括帽子、围巾、手套、雨伞、太阳镜等各类专业型服装配饰公司。
1010012800030012,She's,服装,女装,,She's 品牌于1968年诞生于欧洲，由Cianfran Jerre女士创造。She's不断成长，现已成为女性饰品业极具影响力的品牌，引领着时代先锋潮流。
1010012800030013,DELUXE AND VINCI,服装,女装,,
1010012800030014,LANYOUTY,服装,女装,,
1010012800030015,Lavinia,服装,女装,,
1010012800030016,雾道,服装,女装,,CANTO MOTTO雾道起源于意大利时装之都一米兰（MILAN）临近的一个小镇----维琴察（VICENZA）。VICENZA是意大利威尼斯大区维琴察省的一座城市，是意大利皮革生产制造中心，也是欧洲最大金制品加工基地。维琴察是十五世纪伟大建筑设计师安德里亚帕拉帝奥（ANDREA PALLADIO）的诞生地。 
1010012800030017,ZADA NINE,服装,女装,,
