150421	阿鲁科尔沁旗	alkeqq/elkeqq	43.8808	120.088	-5000
150422	巴林左旗	blzq	43.9785	119.38	-5000
150423	巴林右旗	blyq	43.5224	118.667	-5000
150424	林西县	lxx	43.6008	118.051	-5000
150425	克什克腾旗	ksktq	43.248	117.511	-5000
150426	翁牛特旗	wntq	42.9344	119.019	-5000
150428	喀喇沁旗	klqq	41.9297	118.687	-5000
150429	宁城县	ncx	41.5934	119.335	-5000
150430	敖汉旗	ahq	42.2843	119.896	-5000
150500	通辽市	tls	43.6116	122.26	-5000
150502	科尔沁区	keqq			-10000
150521	科尔沁左翼中旗	keqzyzq	44.1204	123.311	-5000
150522	科尔沁左翼后旗	keqzyhq	42.9482	122.346	-5000
150523	开鲁县	klx	43.5991	121.307	-5000
150524	库伦旗	klq	42.728	121.763	-5000
150525	奈曼旗	nmq	42.8439	120.646	-5000
150526	扎鲁特旗	zltq	44.5497	120.903	-5000
150581	霍林郭勒市	hlgls	45.5365	119.631	-5000
150600	鄂尔多斯市	eedss	39.8184	109.998	-5000
150602	东胜区	dsq			-10000
150621	达拉特旗	dltq	40.3969	110.029	-5000
150622	准格尔旗	zgeq	39.647	110.88	-5000
150623	鄂托克前旗	etkqq	38.2248	107.436	-5000
150624	鄂托克旗	etkq	39.0941	107.982	-5000
150625	杭锦旗	hjq	39.8396	108.723	-5000
150626	乌审旗	wsq	38.5986	108.85	-5000
150627	伊金霍洛旗	yjhlq	39.5666	109.734	-5000
150700	呼伦贝尔市	hlbes	49.2115	119.731	-5000
150702	海拉尔区	hleq			-10000
150721	阿荣旗	arq/erq	48.1194	123.467	-5000
150722	莫力达瓦达斡尔族自治旗	mldwdgezzzq/mldwdwezzzq	48.4722	124.501	-5000
150723	鄂伦春自治旗	elczzq	50.5847	123.712	-5000
150724	鄂温克族自治旗	ewkzzzq	49.1359	119.74	-5000
150725	陈巴尔虎旗	cbehq	49.327	119.431	-5000
150726	新巴尔虎左旗	xbehzq	48.216	118.267	-5000
150727	新巴尔虎右旗	xbehyq	48.6579	116.823	-5000
150781	满洲里市	mzls	49.5784	117.444	-5000
150782	牙克石市	ykss	49.2827	120.728	-5000
150783	扎兰屯市	zlts	48.0107	122.733	-5000
150784	额尔古纳市	eegns	50.2566	120.186	-5000
150785	根河市	ghs	50.7782	121.529	-5000
150800	巴彦淖尔市	byces/bynes/byzes	40.7623	107.395	-5000
150802	临河区	lhq			-10000
150821	五原县	wyx	41.0931	108.269	-5000
150822	磴口县	dkx	40.3249	107	-5000
150823	乌拉特前旗	wltqq	40.7184	108.651	-5000
150824	乌拉特中旗	wltzq	41.5609	108.521	-5000
150825	乌拉特后旗	wlthq	41.4433	107.057	-5000
150826	杭锦后旗	hjhq	40.8822	107.144	-5000
150900	乌兰察布市	wlcbs	41.0312	113.099	-5000
150902	集宁区	jnq			-10000
150921	卓资县	zzx	40.8945	112.564	-5000
150922	化德县	hdx	41.8899	113.986	-5000
150923	商都县	sdx	41.5532	113.536	-5000
150924	兴和县	xhx	40.8767	113.888	-5000
150925	凉城县	lcx	40.5247	112.496	-5000
150926	察哈尔右翼前旗	cheyyqq	40.7799	113.205	-5000
150927	察哈尔右翼中旗	cheyyzq	41.2653	112.627	-5000
150928	察哈尔右翼后旗	cheyyhq	41.4508	113.177	-5000
150929	四子王旗	szwq	41.5147	111.692	-5000
150981	丰镇市	fzs	40.4366	113.154	-5000
152200	兴安盟	xam			-10000
152201	乌兰浩特市	wlhts	46.0682	122.068	-5000
152202	阿尔山市	aess/eess	47.158	119.946	-5000
152221	科尔沁右翼前旗	keqyyqq	46.0632	122.069	-5000
152222	科尔沁右翼中旗	keqyyzq	45.0574	121.466	-5000
152223	扎赉特旗	zltq	46.7198	122.909	-5000
152224	突泉县	tqx	45.3774	121.554	-5000
152500	锡林郭勒盟	xlglm			-10000
152501	二连浩特市	elhts	43.6493	111.97	-5000
152502	锡林浩特市	xlhts	43.9443	116.066	-5000
152522	阿巴嘎旗	abgq/ebgq	44.0182	114.964	-5000
152523	苏尼特左旗	sntzq	43.844	113.725	-5000
152524	苏尼特右旗	sntyq	42.7406	112.644	-5000
152525	东乌珠穆沁旗	dwzmqq	45.513	116.969	-5000
152526	西乌珠穆沁旗	xwzmqq	44.5871	117.609	-5000
152527	太仆寺旗	tpsq	41.8906	115.278	-5000
152528	镶黄旗	xhq	42.2427	113.842	-5000
152529	正镶白旗	zxbq	42.3066	114.998	-5000
152530	正蓝旗	zlq	42.2462	115.995	-5000
152531	多伦县	dlx	42.1842	116.471	-5000
152900	阿拉善盟	alsm/elsm			-10000
152921	阿拉善左旗	alszq/elszq	38.8402	105.665	-5000
152922	阿拉善右旗	alsyq/elsyq	39.1987	101.673	-5000
152923	额济纳旗	ejnq	41.9714	101.072	-5000
210000	辽宁省	lns			-10000
210100	沈阳市	sys	41.7966	123.412	-5000
210102	和平区	hpq			-10000
210103	沈河区	shq			-10000
210104	大东区	ddq			-10000
210105	皇姑区	hgq			-10000
210106	铁西区	txq			-10000
210111	苏家屯区	sjtq	41.653	123.34	-10000
210112	东陵区	dlq	41.765	123.479	-10000
210113	新城子区	xczq	42.05	123.522	-10000
210114	于洪区	yhq	41.786	123.301	-10000
210122	辽中县	lzx	41.5068	122.729	-5000
210123	康平县	kpx	42.7452	123.341	-5000
210124	法库县	fkx	42.5029	123.407	-5000
210181	新民市	xms	41.992	122.823	-10000
210200	大连市	dls	38.9178	121.601	-5000
210202	中山区	zsq			-10000
210203	西岗区	xgq			-10000
210204	沙河口区	shkq			-10000
210211	甘井子区	gjzq	38.949	121.568	-10000
210212	旅顺口区	lskq	38.811	121.261	-10000
210213	金州区	jzq	39.106	121.714	-10000
210224	长海县	chx	39.2727	122.576	-5000
210281	瓦房店市	wfds	39.6211	121.98	-5000
210282	普兰店市	plds	39.397	121.963	-10000
210283	庄河市	zhs	39.6975	122.979	-10000
210300	鞍山市	ass	41.1153	122.984	-5000
210302	铁东区	tdq			-10000
210303	铁西区	txq			-10000
210304	立山区	lsq	41.146	123.026	-10000
210311	千山区	qsq	41.07	122.969	-10000
210321	台安县	tax	41.3842	122.423	-5000
210323	岫岩满族自治县	xymzzzx	40.2784	123.269	-5000
210381	海城市	hcs	40.8496	122.75	-5000
210400	抚顺市	fss	41.86097	123.902676	-5000
210402	新抚区	xfq			-10000
210403	东洲区	dzq	41.832114	123.978285	-10000
210404	望花区	whq	41.849	123.808	-10000
210411	顺城区	scq	41.879	123.933	-10000
210421	抚顺县	fsx	41.877206	123.911653	-5000
210422	新宾满族自治县	xbmzzzx	41.7224	125.034	-5000
210423	清原满族自治县	qymzzzx	42.1008	124.915	-5000
210500	本溪市	bxs	41.2876	123.765	-5000
210502	平山区	psq			-10000
210503	溪湖区	xhq			-10000
210504	明山区	msq			-10000
210505	南芬区	nfq	41.112194	123.750994	-10000
210521	本溪满族自治县	bxmzzzx	41.2958	124.113	-5000
210522	桓仁满族自治县	hrmzzzx	41.2647	125.352	-5000
210600	丹东市	dds	40.128141	124.381539	-5000
210602	元宝区	ybq			-10000
210603	振兴区	zxq			-10000
210604	振安区	zaq			-10000
210624	宽甸满族自治县	kdmzzzx	40.7286	124.773	-5000
210681	东港市	dgs	39.88	124.146	-10000
210682	凤城市	fcs	40.4558	124.066	-5000
210700	锦州市	jzs	41.1111	121.133	-5000
210702	古塔区	gtq			-10000
210703	凌河区	lhq			-10000
210711	太和区	thq			-10000
210726	黑山县	hsx	41.6858	122.113	-5000
210727	义县	yx	41.5394	121.243	-5000
210781	凌海市	lhs	41.169	121.361	-10000
210782	北宁市	bns	41.599	121.793	-10000
210800	营口市	yks	40.6683	122.224	-5000
210802	站前区	zqq			-10000
210803	西市区	xsq			-10000
210804	鲅鱼圈区	byjq/byqq	40.282242	122.125232	-10000
210811	老边区	lbq	40.679	122.368	-10000
210881	盖州市	gzs	40.398	122.359	-10000
210882	大石桥市	dsqs	40.632	122.508	-10000
210900	阜新市	fxs	42.008	121.649	-5000
210902	海州区	hzq			-10000
210903	新邱区	xqq	42.09	121.791	-10000
210904	太平区	tpq			-10000
210905	清河门区	qhmq	41.759	121.416	-10000
210911	细河区	xhq			-10000
210921	阜新蒙古族自治县	fxmgzzzx	42.0494	121.736	-5000
210922	彰武县	zwx	42.3844	122.538	-5000
211000	辽阳市	lys	41.2651	123.162	-5000
211002	白塔区	btq			-10000
211003	文圣区	wsq			-10000
211004	宏伟区	hwq	41.200111	123.207167	-10000
211005	弓长岭区	gclq	41.154598	123.424035	-10000
211011	太子河区	tzhq			-10000
211021	辽阳县	lyx	41.208	123.074	-5000
211081	灯塔市	dts	41.4228	123.316	-5000
211100	盘锦市	pjs	41.1885	122.048	-5000
211102	双台子区	stzq	41.189	122.049	-10000
211103	兴隆台区	xltq			-10000
